disease_id,disease_name,disease_name_upper
10613,inborn glycerol kinase deficiency,INBORN GLYCEROL KINASE DEFICIENCY
9315,congenital factor XII deficiency,CONGENITAL FACTOR XII DEFICIENCY
12249_13699_13725_13695_13710_13196,"colorectal cancer, hereditary nonpolyposis,","COLORECTAL CANCER, HEREDITARY NONPOLYPOSIS,"
10258,MEHMO syndrome,MEHMO SYNDROME
9296,glycoprotein storage disease,GLYCOPROTEIN STORAGE DISEASE
10389_17905,X-linked mendelian susceptibility to mycobacterial diseases,X-LINKED MENDELIAN SUSCEPTIBILITY TO MYCOBACTERIAL DISEASES
13055,"Stargardt macular degeneration, absent or hypoplastic corpus callosum, intellectual disability, and dysmorphic features","STARGARDT MACULAR DEGENERATION, ABSENT OR HYPOPLASTIC CORPUS CALLOSUM, INTELLECTUAL DISABILITY, AND DYSMORPHIC FEATURES"
7941,malocclusion due to protuberant upper front teeth,MALOCCLUSION DUE TO PROTUBERANT UPPER FRONT TEETH
10887,isolated anterior cervical hypertrichosis,ISOLATED ANTERIOR CERVICAL HYPERTRICHOSIS
12541,"deafness with labyrinthine aplasia, microtia, and microdontia","DEAFNESS WITH LABYRINTHINE APLASIA, MICROTIA, AND MICRODONTIA"
32753,"spastic ataxia 9, autosomal recessive","SPASTIC ATAXIA 9, AUTOSOMAL RECESSIVE"
9370_16001,2/L-2-hydroxyglutaric aciduria,2/L-2-HYDROXYGLUTARIC ACIDURIA
9423,"hypokalemic alkalosis, familial, with specific renal tubulopathy","HYPOKALEMIC ALKALOSIS, FAMILIAL, WITH SPECIFIC RENAL TUBULOPATHY"
21018,autosomal dominant limb-girdle muscular dystrophy type 1D (DNAJB6),AUTOSOMAL DOMINANT LIMB-GIRDLE MUSCULAR DYSTROPHY TYPE 1D (DNAJB6)
11010,Matthew-Wood syndrome,MATTHEW-WOOD SYNDROME
12512,fatal mitochondrial disease due to combined oxidative phosphorylation defect type 3,FATAL MITOCHONDRIAL DISEASE DUE TO COMBINED OXIDATIVE PHOSPHORYLATION DEFECT TYPE 3
9455,"immunodeficiency, partial combined, with absence of HLA Determinants and beta-2-microglobulin from lymphocytes","IMMUNODEFICIENCY, PARTIAL COMBINED, WITH ABSENCE OF HLA DETERMINANTS AND BETA-2-MICROGLOBULIN FROM LYMPHOCYTES"
9886,pleoconial myopathy with salt craving,PLEOCONIAL MYOPATHY WITH SALT CRAVING
10673,"modifier, X-linked, for Neurofunctional defects","MODIFIER, X-LINKED, FOR NEUROFUNCTIONAL DEFECTS"
7041,apert syndrome,APERT SYNDROME
9338,hepatic veno-occlusive disease-immunodeficiency syndrome,HEPATIC VENO-OCCLUSIVE DISEASE-IMMUNODEFICIENCY SYNDROME
14456,autosomal recessive severe congenital neutropenia due to JAGN1 deficiency,AUTOSOMAL RECESSIVE SEVERE CONGENITAL NEUTROPENIA DUE TO JAGN1 DEFICIENCY
10644,"proteinuria, low molecular weight, with hypercalciuria and nephrocalcinosis","PROTEINURIA, LOW MOLECULAR WEIGHT, WITH HYPERCALCIURIA AND NEPHROCALCINOSIS"
12468_12182,"skeletal dysplasia, rhizomelic, with retinitis pigmentosa","SKELETAL DYSPLASIA, RHIZOMELIC, WITH RETINITIS PIGMENTOSA"
12524,corticosterone methyloxidase type 2 deficiency,CORTICOSTERONE METHYLOXIDASE TYPE 2 DEFICIENCY
13164,beta-ureidopropionase deficiency,BETA-UREIDOPROPIONASE DEFICIENCY
10107,testicular regression syndrome,TESTICULAR REGRESSION SYNDROME
11728,blepharospasm,BLEPHAROSPASM
12720,"Krabbe disease, atypical, due to saposin A deficiency","KRABBE DISEASE, ATYPICAL, DUE TO SAPOSIN A DEFICIENCY"
10667,Prieto syndrome,PRIETO SYNDROME
32836,weiss-kruszka syndrome,WEISS-KRUSZKA SYNDROME
7606,fibrodysplasia ossificans progressiva,FIBRODYSPLASIA OSSIFICANS PROGRESSIVA
44304,hyperphenylalaninemia due to DNAJC12 deficiency,HYPERPHENYLALANINEMIA DUE TO DNAJC12 DEFICIENCY
9821,lethal osteosclerotic bone dysplasia,LETHAL OSTEOSCLEROTIC BONE DYSPLASIA
10958,"cardiac arrhythmia, ankyrin-B-related","CARDIAC ARRHYTHMIA, ANKYRIN-B-RELATED"
12648,isobutyryl-CoA dehydrogenase deficiency,ISOBUTYRYL-COA DEHYDROGENASE DEFICIENCY
14472,periodic fever-infantile enterocolitis-autoinflammatory syndrome,PERIODIC FEVER-INFANTILE ENTEROCOLITIS-AUTOINFLAMMATORY SYNDROME
7205,diaphyseal medullary stenosis-bone malignancy syndrome,DIAPHYSEAL MEDULLARY STENOSIS-BONE MALIGNANCY SYNDROME
9948,"pyropoikilocytosis, hereditary","PYROPOIKILOCYTOSIS, HEREDITARY"
10001_19287_23046_23048,ectodermal dysplasia syndrome,ECTODERMAL DYSPLASIA SYNDROME
9231,fibular hypoplasia and complex brachydactyly,FIBULAR HYPOPLASIA AND COMPLEX BRACHYDACTYLY
14606,intellectual disability-microcephaly-strabismus-behavioral abnormalities syndrome,INTELLECTUAL DISABILITY-MICROCEPHALY-STRABISMUS-BEHAVIORAL ABNORMALITIES SYNDROME
12097_13366_14694_12349_20692,autosomal recessive spondylocostal dysostosis,AUTOSOMAL RECESSIVE SPONDYLOCOSTAL DYSOSTOSIS
18690,Holmes-Adie syndrome,HOLMES-ADIE SYNDROME
7073,hypoglossia-hypodactyly syndrome,HYPOGLOSSIA-HYPODACTYLY SYNDROME
7407,Cryoglobulinemic vasculitis,CRYOGLOBULINEMIC VASCULITIS
7458,"digitotalar dysmorphism; ulnar drift, hereditary","DIGITOTALAR DYSMORPHISM; ULNAR DRIFT, HEREDITARY"
7332_12537,split-hand/foot malformation with long bone deficiency,SPLIT-HAND/FOOT MALFORMATION WITH LONG BONE DEFICIENCY
34022_24530_8029,Bethlem myopathy,BETHLEM MYOPATHY
14031_9616_17950,microcephalic primordial dwarfism,MICROCEPHALIC PRIMORDIAL DWARFISM
10543,Barth syndrome,BARTH SYNDROME
10011,schizencephaly,SCHIZENCEPHALY
10260,"arthrogryposis, congenital, lower limb, X-linked","ARTHROGRYPOSIS, CONGENITAL, LOWER LIMB, X-LINKED"
9077,"deafness, congenital, and familial myoclonic epilepsy","DEAFNESS, CONGENITAL, AND FAMILIAL MYOCLONIC EPILEPSY"
11624,transaldolase deficiency,TRANSALDOLASE DEFICIENCY
7773,hyperproglucagonemia,HYPERPROGLUCAGONEMIA
8222,Andersen-Tawil syndrome,ANDERSEN-TAWIL SYNDROME
11271,rigid spine muscular dystrophy 1,RIGID SPINE MUSCULAR DYSTROPHY 1
10612,hydrocephaly-cerebellar agenesis syndrome,HYDROCEPHALY-CEREBELLAR AGENESIS SYNDROME
10532,infantile-onset X-linked spinal muscular atrophy,INFANTILE-ONSET X-LINKED SPINAL MUSCULAR ATROPHY
12295,complement component 5 deficiency,COMPLEMENT COMPONENT 5 DEFICIENCY
9931,pulmonary atresia-intact ventricular septum syndrome,PULMONARY ATRESIA-INTACT VENTRICULAR SEPTUM SYNDROME
13408,FADD-related immunodeficiency,FADD-RELATED IMMUNODEFICIENCY
13331,"factor 5 and Factor VIII, combined deficiency of, 2","FACTOR 5 AND FACTOR VIII, COMBINED DEFICIENCY OF, 2"
32818,neurodevelopmental disorder with cerebellar hypoplasia and spasticity,NEURODEVELOPMENTAL DISORDER WITH CEREBELLAR HYPOPLASIA AND SPASTICITY
8755,Moynahan syndrome,MOYNAHAN SYNDROME
11378,obsolete CFM1,OBSOLETE CFM1
7214,brachydactyly-preaxial hallux varus syndrome,BRACHYDACTYLY-PREAXIAL HALLUX VARUS SYNDROME
9115,congenital lactase deficiency,CONGENITAL LACTASE DEFICIENCY
11945,Gaucher disease perinatal lethal,GAUCHER DISEASE PERINATAL LETHAL
13396,chromosome 1p32-p31 deletion syndrome,CHROMOSOME 1P32-P31 DELETION SYNDROME
12190,nephrotic syndrome - deafness - pretibial epidermolysis bullosa syndrome,NEPHROTIC SYNDROME - DEAFNESS - PRETIBIAL EPIDERMOLYSIS BULLOSA SYNDROME
54602_20790,"gaze palsy, familial horizontal, with progressive scoliosis","GAZE PALSY, FAMILIAL HORIZONTAL, WITH PROGRESSIVE SCOLIOSIS"
11132,"T-cell immunodeficiency, congenital alopecia, and nail dystrophy","T-CELL IMMUNODEFICIENCY, CONGENITAL ALOPECIA, AND NAIL DYSTROPHY"
13517,beta-thalassemia HBB/LCRB,BETA-THALASSEMIA HBB/LCRB
8761,obsolete alpha-2-deficient collagen disease,OBSOLETE ALPHA-2-DEFICIENT COLLAGEN DISEASE
8810,familial apolipoprotein C-II deficiency,FAMILIAL APOLIPOPROTEIN C-II DEFICIENCY
11751,"COPD, severe early onset","COPD, SEVERE EARLY ONSET"
14314,sacral agenesis-abnormal ossification of the vertebral bodies-persistent notochordal canal syndrome,SACRAL AGENESIS-ABNORMAL OSSIFICATION OF THE VERTEBRAL BODIES-PERSISTENT NOTOCHORDAL CANAL SYNDROME
11147,chromosome 18q deletion syndrome,CHROMOSOME 18Q DELETION SYNDROME
8128,"ophthalmoplegia, familial static","OPHTHALMOPLEGIA, FAMILIAL STATIC"
8316,"thrombophilia due to protein C deficiency, autosomal dominant","THROMBOPHILIA DUE TO PROTEIN C DEFICIENCY, AUTOSOMAL DOMINANT"
9704,"carnitine palmitoyl transferase II deficiency, myopathic form","CARNITINE PALMITOYL TRANSFERASE II DEFICIENCY, MYOPATHIC FORM"
56822_21170,amyotonia congenita,AMYOTONIA CONGENITA
10605,hemopoietic proliferation,HEMOPOIETIC PROLIFERATION
20671,obsolete susceptibility to ischemic stroke,OBSOLETE SUSCEPTIBILITY TO ISCHEMIC STROKE
11517,pseudohyperaldosteronism type 2,PSEUDOHYPERALDOSTERONISM TYPE 2
13735,microcephaly-cerebellar hypoplasia-cardiac conduction defect syndrome,MICROCEPHALY-CEREBELLAR HYPOPLASIA-CARDIAC CONDUCTION DEFECT SYNDROME
9919,peroxisomal acyl-CoA oxidase deficiency,PEROXISOMAL ACYL-COA OXIDASE DEFICIENCY
8227,peripheral dysostosis,PERIPHERAL DYSOSTOSIS
10606,"hernia, anterior diaphragmatic","HERNIA, ANTERIOR DIAPHRAGMATIC"
8244,piebaldism,PIEBALDISM
8799,anophthalmia/microphthalmia-esophageal atresia syndrome,ANOPHTHALMIA/MICROPHTHALMIA-ESOPHAGEAL ATRESIA SYNDROME
7185,Banki syndrome,BANKI SYNDROME
14096,microcephaly-intellectual disability-phalangeal and neurological anomalies syndrome,MICROCEPHALY-INTELLECTUAL DISABILITY-PHALANGEAL AND NEUROLOGICAL ANOMALIES SYNDROME
20781_14960,"encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy","ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN EDEMA AND/OR LEUKOENCEPHALOPATHY"
21035_13492_12487_30009,alopecia-intellectual disability syndrome,ALOPECIA-INTELLECTUAL DISABILITY SYNDROME
11263,"skeletal dysplasia and progressive central nervous system degeneration, lethal","SKELETAL DYSPLASIA AND PROGRESSIVE CENTRAL NERVOUS SYSTEM DEGENERATION, LETHAL"
10851,Lowry-MacLean syndrome,LOWRY-MACLEAN SYNDROME
7695,hairy palms and soles,HAIRY PALMS AND SOLES
11053,intellectual disability-sparse hair-brachydactyly syndrome,INTELLECTUAL DISABILITY-SPARSE HAIR-BRACHYDACTYLY SYNDROME
7233_15376_15377_15378,branchial cleft anomaly,BRANCHIAL CLEFT ANOMALY
11444,Duane retraction syndrome 2,DUANE RETRACTION SYNDROME 2
9371,3-hydroxyisobutyric aciduria,3-HYDROXYISOBUTYRIC ACIDURIA
12001,"mandibulofacial dysostosis with ptosis, autosomal dominant","MANDIBULOFACIAL DYSOSTOSIS WITH PTOSIS, AUTOSOMAL DOMINANT"
14094,severe congenital hypochromic anemia with ringed sideroblasts,SEVERE CONGENITAL HYPOCHROMIC ANEMIA WITH RINGED SIDEROBLASTS
7964,dysplastic nevus syndrome,DYSPLASTIC NEVUS SYNDROME
20742,"obsolete cataract, microcephaly, failure to thrive, kyphoscoliosis syndrome","OBSOLETE CATARACT, MICROCEPHALY, FAILURE TO THRIVE, KYPHOSCOLIOSIS SYNDROME"
12916,chromosome 2p16.1-p15 deletion syndrome,CHROMOSOME 2P16.1-P15 DELETION SYNDROME
14723,PMP22-RAI1 contiguous gene duplication syndrome,PMP22-RAI1 CONTIGUOUS GENE DUPLICATION SYNDROME
8258,platelet signal processing defect,PLATELET SIGNAL PROCESSING DEFECT
9551,"magnesium, elevated red cell","MAGNESIUM, ELEVATED RED CELL"
9995,obsolete rheumatic fever-related antigen,OBSOLETE RHEUMATIC FEVER-RELATED ANTIGEN
10961,obesity due to prohormone convertase I deficiency,OBESITY DUE TO PROHORMONE CONVERTASE I DEFICIENCY
7643,"gamma-A-globulin, defect in assembly of","GAMMA-A-GLOBULIN, DEFECT IN ASSEMBLY OF"
8624,Upington disease,UPINGTON DISEASE
9208,faciothoracogenital syndrome,FACIOTHORACOGENITAL SYNDROME
7505,"earring holes, natural","EARRING HOLES, NATURAL"
8715,acrofrontofacionasal dysostosis,ACROFRONTOFACIONASAL DYSOSTOSIS
14741,facial dysmorphism-developmental delay-behavioral abnormalities syndrome due to WAC point mutation,FACIAL DYSMORPHISM-DEVELOPMENTAL DELAY-BEHAVIORAL ABNORMALITIES SYNDROME DUE TO WAC POINT MUTATION
32851,intellectual developmental disorder with impaired language and dysmorphic facies,INTELLECTUAL DEVELOPMENTAL DISORDER WITH IMPAIRED LANGUAGE AND DYSMORPHIC FACIES
14179_14178,inclusion body myopathy with early-onset Paget disease with or without frontotemporal dementia,INCLUSION BODY MYOPATHY WITH EARLY-ONSET PAGET DISEASE WITH OR WITHOUT FRONTOTEMPORAL DEMENTIA
10789,MELAS syndrome,MELAS SYNDROME
10365,"myopathy, congenital, with fiber-type disproportion, X-linked","MYOPATHY, CONGENITAL, WITH FIBER-TYPE DISPROPORTION, X-LINKED"
8118,odontomatosis-aortae esophagus stenosis syndrome,ODONTOMATOSIS-AORTAE ESOPHAGUS STENOSIS SYNDROME
14312_11234_13845_107,auriculocondylar syndrome,AURICULOCONDYLAR SYNDROME
11215,osteocraniostenosis,OSTEOCRANIOSTENOSIS
32838,"neurodevelopmental disorder with microcephaly, arthrogryposis, and structural brain anomalies","NEURODEVELOPMENTAL DISORDER WITH MICROCEPHALY, ARTHROGRYPOSIS, AND STRUCTURAL BRAIN ANOMALIES"
8365,recombinant 8 syndrome,RECOMBINANT 8 SYNDROME
14825,"chromosome 11p13 deletion syndrome, distal","CHROMOSOME 11P13 DELETION SYNDROME, DISTAL"
14044,dysmorphism-conductive hearing loss-heart defect syndrome,DYSMORPHISM-CONDUCTIVE HEARING LOSS-HEART DEFECT SYNDROME
32862,"hydrocephalus, congenital communicating, 1","HYDROCEPHALUS, CONGENITAL COMMUNICATING, 1"
9910,Wiedemann-Rautenstrauch syndrome,WIEDEMANN-RAUTENSTRAUCH SYNDROME
9698,Unverricht-Lundborg syndrome,UNVERRICHT-LUNDBORG SYNDROME
7583,exostoses of heel,EXOSTOSES OF HEEL
24466_11407_13880,"facial paresis, hereditary congenital","FACIAL PARESIS, HEREDITARY CONGENITAL"
11402,congenital cataracts-facial dysmorphism-neuropathy syndrome,CONGENITAL CATARACTS-FACIAL DYSMORPHISM-NEUROPATHY SYNDROME
13539,hypotonia-failure to thrive-microcephaly syndrome,HYPOTONIA-FAILURE TO THRIVE-MICROCEPHALY SYNDROME
12700,"renal tubular acidosis, distal, 4, with hemolytic anemia","RENAL TUBULAR ACIDOSIS, DISTAL, 4, WITH HEMOLYTIC ANEMIA"
13563_10466_14165_100247,multiple congenital anomalies-hypotonia-seizures syndrome,MULTIPLE CONGENITAL ANOMALIES-HYPOTONIA-SEIZURES SYNDROME
7810,autosomal dominant ichthyosis vulgaris,AUTOSOMAL DOMINANT ICHTHYOSIS VULGARIS
11273,H syndrome,H SYNDROME
10140,isolated thyrotropin-releasing hormone deficiency,ISOLATED THYROTROPIN-RELEASING HORMONE DEFICIENCY
7253,"cancer, familial, with in vitro Radioresistance","CANCER, FAMILIAL, WITH IN VITRO RADIORESISTANCE"
8705,lysosomal acid phosphatase deficiency,LYSOSOMAL ACID PHOSPHATASE DEFICIENCY
8071,autosomal dominant progressive nephropathy with hypertension,AUTOSOMAL DOMINANT PROGRESSIVE NEPHROPATHY WITH HYPERTENSION
14210,intellectual disability-hypotonia-spasticity-sleep disorder syndrome,INTELLECTUAL DISABILITY-HYPOTONIA-SPASTICITY-SLEEP DISORDER SYNDROME
9607,methionine adenosyltransferase deficiency,METHIONINE ADENOSYLTRANSFERASE DEFICIENCY
11239,colobomatous macrophthalmia-microcornea syndrome,COLOBOMATOUS MACROPHTHALMIA-MICROCORNEA SYNDROME
8183,annular pancreas,ANNULAR PANCREAS
11508,"lymphoma, non-Hodgkin, familial","LYMPHOMA, NON-HODGKIN, FAMILIAL"
7827,inclusion body myositis,INCLUSION BODY MYOSITIS
8599,trigeminal neuralgia,TRIGEMINAL NEURALGIA
9042,craniotelencephalic dysplasia,CRANIOTELENCEPHALIC DYSPLASIA
32943,neurodevelopmental disorder with relative macrocephaly and with or without cardiac or endocrine anomalies,NEURODEVELOPMENTAL DISORDER WITH RELATIVE MACROCEPHALY AND WITH OR WITHOUT CARDIAC OR ENDOCRINE ANOMALIES
9243,Fraser-like syndrome,FRASER-LIKE SYNDROME
7840,"internal carotid artery, spontaneous dissection of","INTERNAL CAROTID ARTERY, SPONTANEOUS DISSECTION OF"
9117,"obsolete disorganization, mouse, homolog of","OBSOLETE DISORGANIZATION, MOUSE, HOMOLOG OF"
11081,dislocation of the hip-dysmorphism syndrome,DISLOCATION OF THE HIP-DYSMORPHISM SYNDROME
7120,aniridia-absent patella syndrome,ANIRIDIA-ABSENT PATELLA SYNDROME
8336,"pterygium colli, isolated","PTERYGIUM COLLI, ISOLATED"
7620,fish eye disease,FISH EYE DISEASE
8015,motion sickness,MOTION SICKNESS
54581_54582_7142,Townes-Brocks syndrome,TOWNES-BROCKS SYNDROME
10675,"muscular dystrophy, cardiac type","MUSCULAR DYSTROPHY, CARDIAC TYPE"
10769,"hairy ears, Y-linked","HAIRY EARS, Y-LINKED"
8262,Poland syndrome,POLAND SYNDROME
7445,dermatopathia pigmentosa reticularis,DERMATOPATHIA PIGMENTOSA RETICULARIS
12110,growth delay due to insulin-like growth factor type 1 deficiency,GROWTH DELAY DUE TO INSULIN-LIKE GROWTH FACTOR TYPE 1 DEFICIENCY
24557,ataxia-telangiectasia-like disorder 1,ATAXIA-TELANGIECTASIA-LIKE DISORDER 1
14109,NGLY1-deficiency,NGLY1-DEFICIENCY
10561,Coffin-Lowry syndrome,COFFIN-LOWRY SYNDROME
9088,"deafness, neural, with atypical atopic dermatitis","DEAFNESS, NEURAL, WITH ATYPICAL ATOPIC DERMATITIS"
8593,trichomegaly,TRICHOMEGALY
12382_11153_9734,"hyperinsulinemic hypoglycemia, familial","HYPERINSULINEMIC HYPOGLYCEMIA, FAMILIAL"
8850,Cooper-Jabs syndrome,COOPER-JABS SYNDROME
9695,"myeloproliferative disease, autosomal recessive","MYELOPROLIFERATIVE DISEASE, AUTOSOMAL RECESSIVE"
14746,SLC39A8-CDG,SLC39A8-CDG
12280,Goldberg-Shprintzen megacolon syndrome,GOLDBERG-SHPRINTZEN MEGACOLON SYNDROME
12347,"hamartoma, Precalcaneal congenital fibrolipomatous","HAMARTOMA, PRECALCANEAL CONGENITAL FIBROLIPOMATOUS"
9748_15354,hereditary sensory and autonomic neuropathy,HEREDITARY SENSORY AND AUTONOMIC NEUROPATHY
9447,"ichthyosis, split hairs, and amino aciduria","ICHTHYOSIS, SPLIT HAIRS, AND AMINO ACIDURIA"
9316,hair defect-photosensitivity-intellectual disability syndrome,HAIR DEFECT-PHOTOSENSITIVITY-INTELLECTUAL DISABILITY SYNDROME
12830,chromosome 10q23 deletion syndrome,CHROMOSOME 10Q23 DELETION SYNDROME
9199,ethanolaminosis,ETHANOLAMINOSIS
11688_12138_171_18276_172_173,muscular dystrophy-dystroglycanopathy,MUSCULAR DYSTROPHY-DYSTROGLYCANOPATHY
11776,CINCA syndrome,CINCA SYNDROME
8925,cataract 46 juvenile-onset,CATARACT 46 JUVENILE-ONSET
12991,Kahrizi syndrome,KAHRIZI SYNDROME
8661,vitiligo,VITILIGO
8857,Beemer-Ertbruggen syndrome,BEEMER-ERTBRUGGEN SYNDROME
7469,double nail for fifth toe,DOUBLE NAIL FOR FIFTH TOE
10713,"properdin deficiency, X-linked","PROPERDIN DEFICIENCY, X-LINKED"
7618,Eng-Strom syndrome,ENG-STROM SYNDROME
7147,obstructive sleep apnea syndrome,OBSTRUCTIVE SLEEP APNEA SYNDROME
13755,PYCR1-related de Barsy syndrome,PYCR1-RELATED DE BARSY SYNDROME
9638,mitochondrial myopathy with a defect in mitochondrial-protein transport,MITOCHONDRIAL MYOPATHY WITH A DEFECT IN MITOCHONDRIAL-PROTEIN TRANSPORT
9693,plasma cell myeloma,PLASMA CELL MYELOMA
14375_13184,congenital diarrhea with enteropathy,CONGENITAL DIARRHEA WITH ENTEROPATHY
13779,Wiskott-Aldrich syndrome 2,WISKOTT-ALDRICH SYNDROME 2
10867,PARC syndrome,PARC SYNDROME
8407,"neurogenic scapuloperoneal syndrome, Kaeser type","NEUROGENIC SCAPULOPERONEAL SYNDROME, KAESER TYPE"
8259,familial spontaneous pneumothorax,FAMILIAL SPONTANEOUS PNEUMOTHORAX
13073,"palmoplantar keratoderma, nonepidermolytic, focal 1","PALMOPLANTAR KERATODERMA, NONEPIDERMOLYTIC, FOCAL 1"
10557,choroideremia,CHOROIDEREMIA
32607,vertebral anomalies and variable endocrine and T-cell dysfunction,VERTEBRAL ANOMALIES AND VARIABLE ENDOCRINE AND T-CELL DYSFUNCTION
8411,ulnar-mammary syndrome,ULNAR-MAMMARY SYNDROME
14520,"46,XX ovarian dysgenesis-short stature syndrome","46,XX OVARIAN DYSGENESIS-SHORT STATURE SYNDROME"
9177,late-onset localized junctional epidermolysis bullosa-intellectual disability syndrome,LATE-ONSET LOCALIZED JUNCTIONAL EPIDERMOLYSIS BULLOSA-INTELLECTUAL DISABILITY SYNDROME
10069,spondylocostal dysostosis-anal and genitourinary malformations syndrome,SPONDYLOCOSTAL DYSOSTOSIS-ANAL AND GENITOURINARY MALFORMATIONS SYNDROME
60578,"neurodevelopmental disorder, mitochondrial, with abnormal movements and lactic acidosis, with or without seizures","NEURODEVELOPMENTAL DISORDER, MITOCHONDRIAL, WITH ABNORMAL MOVEMENTS AND LACTIC ACIDOSIS, WITH OR WITHOUT SEIZURES"
14431,LIPE-related familial partial lipodystrophy,LIPE-RELATED FAMILIAL PARTIAL LIPODYSTROPHY
13512,hemoglobin H disease,HEMOGLOBIN H DISEASE
8675,freeman-Sheldon syndrome,FREEMAN-SHELDON SYNDROME
9303,anti-glomerular basement membrane disease,ANTI-GLOMERULAR BASEMENT MEMBRANE DISEASE
14823,TBCK-related intellectual disability syndrome,TBCK-RELATED INTELLECTUAL DISABILITY SYNDROME
13074,encephalocraniocutaneous lipomatosis,ENCEPHALOCRANIOCUTANEOUS LIPOMATOSIS
13088,"follicular lymphoma, susceptibility to, 1","FOLLICULAR LYMPHOMA, SUSCEPTIBILITY TO, 1"
24521_7031_12343_12751_13716,familial abdominal aortic aneurysm,FAMILIAL ABDOMINAL AORTIC ANEURYSM
12233_7903_18875,Li-Fraumeni syndrome,LI-FRAUMENI SYNDROME
9037,craniosynostosis with anomalies of the cranial base and digits,CRANIOSYNOSTOSIS WITH ANOMALIES OF THE CRANIAL BASE AND DIGITS
9845,pelviscapular dysplasia,PELVISCAPULAR DYSPLASIA
9764,"ocular motor apraxia, Cogan type","OCULAR MOTOR APRAXIA, COGAN TYPE"
7052,growth hormone secreting pituitary adenoma 1,GROWTH HORMONE SECRETING PITUITARY ADENOMA 1
8027,"muscular atrophy, malignant neurogenic","MUSCULAR ATROPHY, MALIGNANT NEUROGENIC"
11184,childhood apraxia of speech,CHILDHOOD APRAXIA OF SPEECH
8743,Stimmler syndrome,STIMMLER SYNDROME
9747,Navajo neurohepatopathy,NAVAJO NEUROHEPATOPATHY
9016,band keratopathy,BAND KERATOPATHY
8214,Pelger-Huet anomaly,PELGER-HUET ANOMALY
7340,cleidocranial dysplasia,CLEIDOCRANIAL DYSPLASIA
9782,ophthalmoplegia totalis with ptosis and miosis,OPHTHALMOPLEGIA TOTALIS WITH PTOSIS AND MIOSIS
8678,Williams syndrome,WILLIAMS SYNDROME
22113,central centrifugal cicatricial alopecia,CENTRAL CENTRIFUGAL CICATRICIAL ALOPECIA
8314,"pronation-supination of the forearm, impairment of","PRONATION-SUPINATION OF THE FOREARM, IMPAIRMENT OF"
10641,X-linked diffuse leiomyomatosis-Alport syndrome,X-LINKED DIFFUSE LEIOMYOMATOSIS-ALPORT SYNDROME
7706,cavernous hemangiomas of face-supraumbilical midline raphe syndrome,CAVERNOUS HEMANGIOMAS OF FACE-SUPRAUMBILICAL MIDLINE RAPHE SYNDROME
14069,syndactyly-camptodactyly and clinodactyly of fifth fingers-bifid toes syndrome,SYNDACTYLY-CAMPTODACTYLY AND CLINODACTYLY OF FIFTH FINGERS-BIFID TOES SYNDROME
9300_13588_14126_14504_33047_13972_17312,Perrault syndrome,PERRAULT SYNDROME
33551,immunodeficiency 72 with autoinflammation,IMMUNODEFICIENCY 72 WITH AUTOINFLAMMATION
8333,"pseudoxanthoma elasticum, forme fruste","PSEUDOXANTHOMA ELASTICUM, FORME FRUSTE"
32930,intellectual developmental disorder with poor growth and with or without seizures or ataxia,INTELLECTUAL DEVELOPMENTAL DISORDER WITH POOR GROWTH AND WITH OR WITHOUT SEIZURES OR ATAXIA
10290_11635,"goiter, multinodular","GOITER, MULTINODULAR"
7599,"factor 9 and Factor XI, combined deficiency of","FACTOR 9 AND FACTOR XI, COMBINED DEFICIENCY OF"
11199,"nephropathy, progressive tubulointerstitial, with cholestatic liver disease","NEPHROPATHY, PROGRESSIVE TUBULOINTERSTITIAL, WITH CHOLESTATIC LIVER DISEASE"
9251,"fructose-1,6-bisphosphatase deficiency","FRUCTOSE-1,6-BISPHOSPHATASE DEFICIENCY"
44205_44204_9833,Shwachman-Diamond syndrome,SHWACHMAN-DIAMOND SYNDROME
30921,"intellectual disability, autosomal dominant 55, with seizures","INTELLECTUAL DISABILITY, AUTOSOMAL DOMINANT 55, WITH SEIZURES"
7343,isolated congenital digital clubbing,ISOLATED CONGENITAL DIGITAL CLUBBING
10034,anosmia for butyl mercaptan,ANOSMIA FOR BUTYL MERCAPTAN
11652,Phelan-McDermid syndrome,PHELAN-MCDERMID SYNDROME
10082,subaortic stenosis-short stature syndrome,SUBAORTIC STENOSIS-SHORT STATURE SYNDROME
8428,septooptic dysplasia,SEPTOOPTIC DYSPLASIA
60629,"neurodevelopmental disorder with or without hyperkinetic movements and seizures, autosomal recessive","NEURODEVELOPMENTAL DISORDER WITH OR WITHOUT HYPERKINETIC MOVEMENTS AND SEIZURES, AUTOSOMAL RECESSIVE"
9163,"encephalomalacia, multilocular","ENCEPHALOMALACIA, MULTILOCULAR"
32857,"diarrhea 11, malabsorptive, congenital","DIARRHEA 11, MALABSORPTIVE, CONGENITAL"
9393,ornithine translocase deficiency,ORNITHINE TRANSLOCASE DEFICIENCY
12286,"myopathy, autophagic vacuolar, infantile-onset","MYOPATHY, AUTOPHAGIC VACUOLAR, INFANTILE-ONSET"
13791,"thrombophilia due to protein S deficiency, autosomal recessive","THROMBOPHILIA DUE TO PROTEIN S DEFICIENCY, AUTOSOMAL RECESSIVE"
