drugbank_id,drug_name,drug_name_upper
DB07697,"1-(2,3-dihydro-1,4-benzodioxin-6-ylsulfonyl)-4-[(4-methoxyphenyl)sulfonyl]piperazine","1-(2,3-DIHYDRO-1,4-BENZODIOXIN-6-YLSULFONYL)-4-[(4-METHOXYPHENYL)SULFONYL]PIPERAZINE"
DB00276,Amsacrine,AMSACRINE
DB00308,Ibutilide,IBUTILIDE
DB01162,Terazosin,TERAZOSIN
DB06457,Tecastemizole,TECASTEMIZOLE
DB11090,Potassium nitrate,POTASSIUM NITRATE
DB11186,Pentoxyverine,PENTOXYVERINE
DB11386,Chlorobutanol,CHLOROBUTANOL
DB00219,Oxyphenonium,OXYPHENONIUM
DB00354,Buclizine,BUCLIZINE
DB00483,Gallamine triethiodide,GALLAMINE TRIETHIODIDE
DB00670,Pirenzepine,PIRENZEPINE
DB00771,Clidinium,CLIDINIUM
DB00782,Propantheline,PROPANTHELINE
DB00804,Dicyclomine,DICYCLOMINE
DB00942,Cycrimine,CYCRIMINE
DB01148,Flavoxate,FLAVOXATE
DB01618,Molindone,MOLINDONE
DB02010,Staurosporine,STAUROSPORINE
DB05152,NGX267,NGX267
DB05766,ACP-104,ACP-104
DB06202,Lasofoxifene,LASOFOXIFENE
DB00583,Levocarnitine,LEVOCARNITINE
DB00716,Nedocromil,NEDOCROMIL
DB08855,Leukotriene C4,LEUKOTRIENE C4
DB11858,Leukotriene D4,LEUKOTRIENE D4
DB01917,Putrescine,PUTRESCINE
DB08163,5'-{[4-(aminooxy)butyl](methyl)amino}-5'-deoxy-8-ethenyladenosine,5'-{[4-(AMINOOXY)BUTYL](METHYL)AMINO}-5'-DEOXY-8-ETHENYLADENOSINE
DB00160,Alanine,ALANINE
DB00113,Technetium Tc-99m arcitumomab,TECHNETIUM TC-99M ARCITUMOMAB
DB00141,N-Acetylglucosamine,N-ACETYLGLUCOSAMINE
DB01240,Epoprostenol,EPOPROSTENOL
DB05553,Regrelor,REGRELOR
DB06350,Elinogrel,ELINOGREL
DB06441,Cangrelor,CANGRELOR
DB04633,"N-ethyl-N-[3-(propylamino)propyl]propane-1,3-diamine","N-ETHYL-N-[3-(PROPYLAMINO)PROPYL]PROPANE-1,3-DIAMINE"
DB00272,Betazole,BETAZOLE
DB00797,Tolazoline,TOLAZOLINE
DB05369,HZT-501,HZT-501
DB08805,Metiamide,METIAMIDE
DB08806,Roxatidine acetate,ROXATIDINE ACETATE
DB01592,Iron,IRON
DB03222,dATP,DATP
DB07479,"(1S)-1,2,3,4-TETRAHYDRO-BENZO[C]PHENANTHRENE-2,3,4-TRIOL","(1S)-1,2,3,4-TETRAHYDRO-BENZO[C]PHENANTHRENE-2,3,4-TRIOL"
DB14488,Ferrous gluconate,FERROUS GLUCONATE
DB14489,Ferrous succinate,FERROUS SUCCINATE
DB14490,Ferrous ascorbate,FERROUS ASCORBATE
DB14491,Ferrous fumarate,FERROUS FUMARATE
DB14501,Ferrous glycine sulfate,FERROUS GLYCINE SULFATE
DB03506,9-Deazaadenine,9-DEAZAADENINE
DB04272,Citric acid,CITRIC ACID
DB08675,"(5Z)-7-{(1R,4S,5R,6R)-6-[(1E)-1-Octen-1-yl]-2,3-diazabicyclo[2.2.1]hept-2-en-5-yl}-5-heptenoic acid","(5Z)-7-{(1R,4S,5R,6R)-6-[(1E)-1-OCTEN-1-YL]-2,3-DIAZABICYCLO[2.2.1]HEPT-2-EN-5-YL}-5-HEPTENOIC ACID"
DB00368,Norepinephrine,NOREPINEPHRINE
DB00579,Mazindol,MAZINDOL
DB01089,Deserpidine,DESERPIDINE
DB01363,Ephedra sinica root,EPHEDRA SINICA ROOT
DB01442,MMDA,MMDA
DB06706,Isometheptene,ISOMETHEPTENE
DB06714,Propylhexedrine,PROPYLHEXEDRINE
DB08839,Serotonin,SEROTONIN
DB01599,Probucol,PROBUCOL
DB05199,LX1031,LX1031
DB00756,Hexachlorophene,HEXACHLOROPHENE
DB00890,Dienestrol,DIENESTROL
DB01428,Oxybenzone,OXYBENZONE
DB01431,Allylestrenol,ALLYLESTRENOL
DB01878,Benzophenone,BENZOPHENONE
DB02615,Compound 19,COMPOUND 19
DB02715,Compound 18,COMPOUND 18
DB02757,Pyrazole,PYRAZOLE
DB03467,Naringenin,NARINGENIN
DB03742,Compound 4-D,COMPOUND 4-D
DB03802,"1-[4-(Octahydro-Pyrido[1,2-a]Pyrazin-2-Yl)-Phenyl]-2-Phenyl-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol","1-[4-(OCTAHYDRO-PYRIDO[1,2-A]PYRAZIN-2-YL)-PHENYL]-2-PHENYL-1,2,3,4-TETRAHYDRO-ISOQUINOLIN-6-OL"
DB04468,Afimoxifene,AFIMOXIFENE
DB04471,"2-Phenyl-1-[4-(2-Piperidin-1-Yl-Ethoxy)-Phenyl]-1,2,3,4-Tetrahydro-Isoquinolin-6-Ol","2-PHENYL-1-[4-(2-PIPERIDIN-1-YL-ETHOXY)-PHENYL]-1,2,3,4-TETRAHYDRO-ISOQUINOLIN-6-OL"
DB04573,Estriol,ESTRIOL
DB04575,Quinestrol,QUINESTROL
DB04824,Phenolphthalein,PHENOLPHTHALEIN
DB05233,AP1081,AP1081
DB05487,Custirsen,CUSTIRSEN
DB05662,NP-50301,NP-50301
DB05882,CHF 4227,CHF 4227
DB05966,TAS-108,TAS-108
DB06249,Arzoxifene,ARZOXIFENE
DB06374,Elacestrant,ELACESTRANT
DB06871,17-METHYL-17-ALPHA-DIHYDROEQUILENIN,17-METHYL-17-ALPHA-DIHYDROEQUILENIN
DB06898,"4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol","4-(2-AMINO-1-METHYL-1H-IMIDAZO[4,5-B]PYRIDIN-6-YL)PHENOL"
DB06927,[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE,[5-HYDROXY-2-(4-HYDROXYPHENYL)-1-BENZOFURAN-7-YL]ACETONITRILE
DB07086,"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL","4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"
DB07087,"4-[(1S,2S,5S,9R)-5-(HYDROXYMETHYL)-8,9-DIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL","4-[(1S,2S,5S,9R)-5-(HYDROXYMETHYL)-8,9-DIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"
DB07195,"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-6,8,9-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL","4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-6,8,9-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"
DB07567,"(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL","(2R,3R,4S)-3-(4-HYDROXYPHENYL)-4-METHYL-2-[4-(2-PYRROLIDIN-1-YLETHOXY)PHENYL]CHROMAN-6-OL"
DB07638,"(3AS,4R,9BR)-2,2-DIFLUORO-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL","(3AS,4R,9BR)-2,2-DIFLUORO-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL"
DB07678,"(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL","(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL"
DB07707,"(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL","(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL"
DB07708,3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL
DB07712,3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL
DB07931,Hexestrol,HEXESTROL
DB07932,"dimethyl (1R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hepta-2,5-diene-2,3-dicarboxylate","DIMETHYL (1R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPTA-2,5-DIENE-2,3-DICARBOXYLATE"
DB07933,Erteberel,ERTEBEREL
DB07991,N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE,N-[(1R)-3-(4-HYDROXYPHENYL)-1-METHYLPROPYL]-2-(2-PHENYL-1H-INDOL-3-YL)ACETAMIDE
DB08020,"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL","(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-6-(METHOXYMETHYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-8-OL"
DB08047,"4-[1-allyl-7-(trifluoromethyl)-1H-indazol-3-yl]benzene-1,3-diol","4-[1-ALLYL-7-(TRIFLUOROMETHYL)-1H-INDAZOL-3-YL]BENZENE-1,3-DIOL"
DB08048,"4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL","4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL"
DB08320,"DIETHYL (1R,2S,3R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPT-5-ENE-2,3-DICARBOXYLATE","DIETHYL (1R,2S,3R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPT-5-ENE-2,3-DICARBOXYLATE"
DB08398,"2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine","2-AMINO-1-METHYL-6-PHENYLIMIDAZO(4,5-B)PYRIDINE"
DB08595,"4-[(1S,2R,5S)-4,4,8-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL","4-[(1S,2R,5S)-4,4,8-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL"
DB08737,"(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL","(3AS,4R,9BR)-4-(4-HYDROXYPHENYL)-1,2,3,3A,4,9B-HEXAHYDROCYCLOPENTA[C]CHROMEN-9-OL"
DB08773,2-(4-hydroxyphenyl)benzo[b]thiophen-6-ol,2-(4-HYDROXYPHENYL)BENZO[B]THIOPHEN-6-OL
DB09086,Eugenol,EUGENOL
DB09369,Polyestradiol phosphate,POLYESTRADIOL PHOSPHATE
DB09535,Octocrylene,OCTOCRYLENE
DB11064,Homosalate,HOMOSALATE
DB11219,Enzacamene,ENZACAMENE
DB11478,Zeranol,ZERANOL
DB11541,Ractopamine,RACTOPAMINE
DB12450,Propyl Gallate,PROPYL GALLATE
DB13869,2-Methoxy-6-{(E)-[(4-methylphenyl)imino]methyl}phenol,2-METHOXY-6-{(E)-[(4-METHYLPHENYL)IMINO]METHYL}PHENOL
DB14641,Estriol tripropionate,ESTRIOL TRIPROPIONATE
DB01025,Amlexanox,AMLEXANOX
DB07768,Epitestosterone,EPITESTOSTERONE
DB01567,Fludiazepam,FLUDIAZEPAM
DB02126,4-Carboxycinnamic Acid,4-CARBOXYCINNAMIC ACID
DB07427,2-[(2-methoxy-5-methylphenoxy)methyl]pyridine,2-[(2-METHOXY-5-METHYLPHENOXY)METHYL]PYRIDINE
DB07428,4-[(5-methoxy-2-methylphenoxy)methyl]pyridine,4-[(5-METHOXY-2-METHYLPHENOXY)METHYL]PYRIDINE
DB07645,Sebacic acid,SEBACIC ACID
DB08077,"2-[4-({[(3,5-DICHLOROPHENYL)AMINO]CARBONYL}AMINO)PHENOXY]-2-METHYLPROPANOIC ACID","2-[4-({[(3,5-DICHLOROPHENYL)AMINO]CARBONYL}AMINO)PHENOXY]-2-METHYLPROPANOIC ACID"
DB08262,"2,6-dicarboxynaphthalene","2,6-DICARBOXYNAPHTHALENE"
DB08486,Efaproxiral,EFAPROXIRAL
DB08632,Trimesic acid,TRIMESIC ACID
DB09112,Nitrous acid,NITROUS ACID
DB15617,Ferric derisomaltose,FERRIC DERISOMALTOSE
DB01569,Formebolone,FORMEBOLONE
DB00984,Nandrolone phenpropionate,NANDROLONE PHENPROPIONATE
DB01063,Acetophenazine,ACETOPHENAZINE
DB01481,1-Testosterone,1-TESTOSTERONE
DB01541,Boldenone,BOLDENONE
DB01564,Calusterone,CALUSTERONE
DB02932,(R)-Bicalutamide,(R)-BICALUTAMIDE
DB02998,Metribolone,METRIBOLONE
DB04709,"(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE","(3AALPHA,4ALPHA,7ALPHA,7AALPHA)- 3A,4,7,7A-TETRAHYDRO-2-(4-NITRO-1-NAPHTHALENYL)-4,7-ETHANO-1H-ISOINDOLE-1,3(2H)-DIONE"
DB05234,LGD2941,LGD2941
DB06133,Dimethylcurcumin,DIMETHYLCURCUMIN
DB06718,Stanozolol,STANOZOLOL
DB06870,Tetrahydrogestrinone,TETRAHYDROGESTRINONE
DB07039,(2S)-N-(4-cyano-3-iodophenyl)-3-(4-cyanophenoxy)-2-hydroxy-2-methylpropanamide,(2S)-N-(4-CYANO-3-IODOPHENYL)-3-(4-CYANOPHENOXY)-2-HYDROXY-2-METHYLPROPANAMIDE
DB07286,BMS-564929,BMS-564929
DB07419,S-23,S-23
DB07421,"4-{[(1R,2S)-1,2-dihydroxy-2-methyl-3-(4-nitrophenoxy)propyl]amino}-2-(trifluoromethyl)benzonitrile","4-{[(1R,2S)-1,2-DIHYDROXY-2-METHYL-3-(4-NITROPHENOXY)PROPYL]AMINO}-2-(TRIFLUOROMETHYL)BENZONITRILE"
DB07422,(2S)-2-hydroxy-2-methyl-N-[4-nitro-3-(trifluoromethyl)phenyl]-3-(pentafluorophenoxy)propanamide,(2S)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]-3-(PENTAFLUOROPHENOXY)PROPANAMIDE
DB07423,Andarine,ANDARINE
DB07454,(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,(R)-3-BROMO-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE
DB07717,"(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE","(5S,8R,9S,10S,13R,14S,17S)-13-{2-[(3,5-DIFLUOROBENZYL)OXY]ETHYL}-17-HYDROXY-10-METHYLHEXADECAHYDRO-3H-CYCLOPENTA[A]PHENANTHREN-3-ONE"
DB07769,S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE,S-3-(4-FLUOROPHENOXY)-2-HYDROXY-2-METHYL-N-[4-NITRO-3-(TRIFLUOROMETHYL)PHENYL]PROPANAMIDE
DB08035,"1-TERT-BUTYL-3-(2,5-DIMETHYLBENZYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE","1-TERT-BUTYL-3-(2,5-DIMETHYLBENZYL)-1H-PYRAZOLO[3,4-D]PYRIMIDIN-4-AMINE"
DB08087,"4-[(7R,7AS)-7-HYDROXY-1,3-DIOXOTETRAHYDRO-1H-PYRROLO[1,2-C]IMIDAZOL-2(3H)-YL]-1-NAPHTHONITRILE","4-[(7R,7AS)-7-HYDROXY-1,3-DIOXOTETRAHYDRO-1H-PYRROLO[1,2-C]IMIDAZOL-2(3H)-YL]-1-NAPHTHONITRILE"
DB08088,"2-chloro-4-{[(1R,3Z,7S,7aS)-7-hydroxy-1-(trifluoromethyl)tetrahydro-1H-pyrrolo[1,2-c][1,3]oxazol-3-ylidene]amino}-3-methylbenzonitrile","2-CHLORO-4-{[(1R,3Z,7S,7AS)-7-HYDROXY-1-(TRIFLUOROMETHYL)TETRAHYDRO-1H-PYRROLO[1,2-C][1,3]OXAZOL-3-YLIDENE]AMINO}-3-METHYLBENZONITRILE"
DB08089,LGD-2226,LGD-2226
DB08461,"3-[(4-AMINO-1-TERT-BUTYL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL)METHYL]PHENOL","3-[(4-AMINO-1-TERT-BUTYL-1H-PYRAZOLO[3,4-D]PYRIMIDIN-3-YL)METHYL]PHENOL"
DB08604,Triclosan,TRICLOSAN
DB11429,Mibolerone,MIBOLERONE
DB11447,Phenothiazine,PHENOTHIAZINE
DB13934,Ligandrol,LIGANDROL
DB14639,Boldenone undecylenate,BOLDENONE UNDECYLENATE
DB15647,Ketodarolutamide,KETODAROLUTAMIDE
DB00536,Guanidine,GUANIDINE
DB02115,Daidzin,DAIDZIN
DB04381,Crotonaldehyde,CROTONALDEHYDE
DB00014,Goserelin,GOSERELIN
DB00032,Menotropins,MENOTROPINS
DB00044,Lutropin alfa,LUTROPIN ALFA
DB00050,Cetrorelix,CETRORELIX
DB00097,Choriogonadotropin alfa,CHORIOGONADOTROPIN ALFA
DB09126,Chorionic Gonadotropin (Human),CHORIONIC GONADOTROPIN (HUMAN)
DB13146,Fluciclovine (18F),FLUCICLOVINE (18F)
DB01121,Phenacemide,PHENACEMIDE
DB01438,Phenazopyridine,PHENAZOPYRIDINE
DB05232,Tetrodotoxin,TETRODOTOXIN
DB01179,Podofilox,PODOFILOX
DB05284,CA4P,CA4P
DB11731,Depatuxizumab mafodotin,DEPATUXIZUMAB MAFODOTIN
DB02258,SR11254,SR11254
DB02466,BMS-181156,BMS-181156
DB02741,CD564,CD564
DB03279,Dodecyl-Alpha-D-Maltoside,DODECYL-ALPHA-D-MALTOSIDE
DB03466,BMS184394,BMS184394
DB05467,R667,R667
DB05785,LGD-1550,LGD-1550
DB07031,"3-Fluoro-4-{[(2R)-2-hydroxy-2-(5,5,8,8-tetramethyl-5,6,7,8-tetrahydro-2-naphthalenyl)acetyl]amino}benzoic acid","3-FLUORO-4-{[(2R)-2-HYDROXY-2-(5,5,8,8-TETRAMETHYL-5,6,7,8-TETRAHYDRO-2-NAPHTHALENYL)ACETYL]AMINO}BENZOIC ACID"
DB07294,"3-fluoro-4-[2-hydroxy-2-(5,5,8,8-tetramethyl-5,6,7,8,-tetrahydro-naphtalen-2-yl)-acetylamino]-benzoic acid","3-FLUORO-4-[2-HYDROXY-2-(5,5,8,8-TETRAMETHYL-5,6,7,8,-TETRAHYDRO-NAPHTALEN-2-YL)-ACETYLAMINO]-BENZOIC ACID"
DB01620,Pheniramine,PHENIRAMINE
DB05032,REV131,REV131
DB05014,XL999,XL999
DB05465,Tandutinib,TANDUTINIB
DB12742,Amuvatinib,AMUVATINIB
DB12874,Quizartinib,QUIZARTINIB
DB01677,Fumaric Acid,FUMARIC ACID
DB03499,D-Malic acid,D-MALIC ACID
DB03589,Mesoxalic acid,MESOXALIC ACID
DB03680,Tartronate,TARTRONATE
DB00534,Chlormerodrin,CHLORMERODRIN
DB01346,Quinidine barbiturate,QUINIDINE BARBITURATE
DB04860,Isatoribine,ISATORIBINE
DB05127,ANA971,ANA971
DB05475,Golotimod,GOLOTIMOD
DB06530,Resiquimod,RESIQUIMOD
DB00652,Pentazocine,PENTAZOCINE
DB01488,Dimethyltryptamine,DIMETHYLTRYPTAMINE
DB09014,Captodiame,CAPTODIAME
DB04768,Pyrithiamine Pyrophosphate,PYRITHIAMINE PYROPHOSPHATE
DB00112,Bevacizumab,BEVACIZUMAB
DB01270,Ranibizumab,RANIBIZUMAB
DB04895,Pegaptanib,PEGAPTANIB
DB05434,ABT-510,ABT-510
DB05890,Veglin,VEGLIN
DB05969,SNS-032,SNS-032
DB06642,Bevasiranib,BEVASIRANIB
DB08885,Aflibercept,AFLIBERCEPT
DB10772,Foreskin keratinocyte (neonatal),FORESKIN KERATINOCYTE (NEONATAL)
DB14864,Brolucizumab,BROLUCIZUMAB
DB15303,Faricimab,FARICIMAB
DB00067,Vasopressin,VASOPRESSIN
DB00093,Felypressin,FELYPRESSIN
DB02638,Terlipressin,TERLIPRESSIN
DB05452,PH-284,PH-284
DB09059,Atosiban,ATOSIBAN
DB13929,Relcovaptan,RELCOVAPTAN
DB14642,Lypressin,LYPRESSIN
DB04447,"1,4-Dithiothreitol","1,4-DITHIOTHREITOL"
DB00221,Isoetharine,ISOETHARINE
DB01102,Arbutamine,ARBUTAMINE
DB01288,Fenoterol,FENOTEROL
DB01291,Pirbuterol,PIRBUTEROL
DB03566,Spermidine,SPERMIDINE
DB08347,4-{[(2S)-3-(tert-butylamino)-2-hydroxypropyl]oxy}-3H-indole-2-carbonitrile,4-{[(2S)-3-(TERT-BUTYLAMINO)-2-HYDROXYPROPYL]OXY}-3H-INDOLE-2-CARBONITRILE
DB08558,"2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL","2-HYDROXYMETHYL-6-OCTYLSULFANYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL"
DB11124,Racepinephrine,RACEPINEPHRINE
DB11278,DL-Methylephedrine,DL-METHYLEPHEDRINE
DB13781,Xamoterol,XAMOTEROL
DB04141,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,4,5-Triol","2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,4,5-TRIOL"
DB04657,Carboxin,CARBOXIN
DB04795,Thenoyltrifluoroacetone,THENOYLTRIFLUOROACETONE
DB08689,Ubiquinone Q1,UBIQUINONE Q1
DB00473,Hexylcaine,HEXYLCAINE
DB00645,Dyclonine,DYCLONINE
DB00807,Proparacaine,PROPARACAINE
DB00961,Mepivacaine,MEPIVACAINE
DB04137,Guanosine-5'-Triphosphate,GUANOSINE-5'-TRIPHOSPHATE
DB11081,Aluminum chloride,ALUMINUM CHLORIDE
DB03345,Mercaptoethanol,MERCAPTOETHANOL
DB00975,Dipyridamole,DIPYRIDAMOLE
DB01972,Guanosine-5'-Monophosphate,GUANOSINE-5'-MONOPHOSPHATE
DB03597,gamma-Glutamyl[S-(2-iodobenzyl)cysteinyl]glycine,GAMMA-GLUTAMYL[S-(2-IODOBENZYL)CYSTEINYL]GLYCINE
DB05415,OSI-461,OSI-461
DB06246,Exisulind,EXISULIND
DB07954,3-isobutyl-1-methyl-7H-xanthine,3-ISOBUTYL-1-METHYL-7H-XANTHINE
DB08729,"5-ethoxy-4-(1-methyl-7-oxo-3-propyl-6,7-dihydro-1H-pyrazolo[4,3-d]pyrimidin-5-yl)thiophene-2-sulfonamide","5-ETHOXY-4-(1-METHYL-7-OXO-3-PROPYL-6,7-DIHYDRO-1H-PYRAZOLO[4,3-D]PYRIMIDIN-5-YL)THIOPHENE-2-SULFONAMIDE"
DB04958,Epratuzumab,EPRATUZUMAB
DB05889,Inotuzumab ozogamicin,INOTUZUMAB OZOGAMICIN
DB12688,Moxetumomab Pasudotox,MOXETUMOMAB PASUDOTOX
DB03408,gamma-Glutamylcysteine,GAMMA-GLUTAMYLCYSTEINE
DB04395,Phosphoaminophosphonic Acid-Adenylate Ester,PHOSPHOAMINOPHOSPHONIC ACID-ADENYLATE ESTER
DB02510,5'-O-(L-Prolylsulfamoyl)adenosine,5'-O-(L-PROLYLSULFAMOYL)ADENOSINE
DB02684,5'-O-(L-Cysteinylsulfamoyl)adenosine,5'-O-(L-CYSTEINYLSULFAMOYL)ADENOSINE
DB03376,5'-O-(N-(Alanyl)sulfamoyl)adenosine,5'-O-(N-(ALANYL)SULFAMOYL)ADENOSINE
DB00144,Phosphatidyl serine,PHOSPHATIDYL SERINE
DB01561,Androstanedione,ANDROSTANEDIONE
DB02323,EM-1745,EM-1745
DB00192,Indecainide,INDECAINIDE
DB00680,Moricizine,MORICIZINE
DB00750,Prilocaine,PRILOCAINE
DB00129,Ornithine,ORNITHINE
DB00007,Leuprolide,LEUPROLIDE
DB00106,Abarelix,ABARELIX
DB00644,Gonadorelin,GONADORELIN
DB00666,Nafarelin,NAFARELIN
DB05624,Teverelix,TEVERELIX
DB06494,Sufugolix,SUFUGOLIX
DB06699,Degarelix,DEGARELIX
DB06785,Ganirelix,GANIRELIX
DB06788,Histrelin,HISTRELIN
DB06825,Triptorelin,TRIPTORELIN
DB00149,Leucine,LEUCINE
DB00102,Becaplermin,BECAPLERMIN
DB05146,XL820,XL820
DB09283,Trapidil,TRAPIDIL
DB02877,Arotinoid acid,AROTINOID ACID
DB01382,Glymidine,GLYMIDINE
DB00331,Metformin,METFORMIN
DB00009,Alteplase,ALTEPLASE
DB00015,Reteplase,RETEPLASE
DB00029,Anistreplase,ANISTREPLASE
DB00031,Tenecteplase,TENECTEPLASE
DB00302,Tranexamic acid,TRANEXAMIC ACID
DB03709,Bicine,BICINE
DB04925,Desmoteplase,DESMOTEPLASE
DB02196,Uridine-Diphosphate-N-Acetylgalactosamine,URIDINE-DIPHOSPHATE-N-ACETYLGALACTOSAMINE
DB03435,Uridine-5'-Diphosphate,URIDINE-5'-DIPHOSPHATE
DB03501,Galactose-uridine-5'-diphosphate,GALACTOSE-URIDINE-5'-DIPHOSPHATE
DB03772,"2-Hexyloxy-6-Hydroxymethyl-Tetrahydro-Pyran-3,5-Diol","2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL"
DB04678,H TYPE II TRISACCHARIDE,H TYPE II TRISACCHARIDE
DB04679,Human blood group H type 1 trisaccharide,HUMAN BLOOD GROUP H TYPE 1 TRISACCHARIDE
DB04680,GALACTOSE GREASE,GALACTOSE GREASE
DB04681,BETA-METHYLLACTOSIDE,BETA-METHYLLACTOSIDE
DB07341,"octyl 3-amino-3-deoxy-2-O-(2,6-dideoxy-alpha-L-lyxo-hexopyranosyl)-beta-D-galactopyranoside","OCTYL 3-AMINO-3-DEOXY-2-O-(2,6-DIDEOXY-ALPHA-L-LYXO-HEXOPYRANOSYL)-BETA-D-GALACTOPYRANOSIDE"
DB07357,"4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL","4-AMINO-2-HEXYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL"
DB07378,"4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL","4-AMINO-2-OCTYLOXY-6-HYDROXYMETHYL-TETRAHYDRO-PYRAN-3,5-DIOL"
